"sep=,"
"Impacto de negocio","Recomendación","Identificador de suscripción","Nombre de suscripción","Grupo de recursos","Nombre de recurso","Tipo","Last refreshed on","Ahorro potencial de costos anual","Moneda del ahorro potencial de costos","Potential carbon reductions","Cost implications (Preview)","Description of changes"
"Alta","Apague las máquinas virtuales infrautilizadas o cambie su tamaño.","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","rg_fgt","fgt","Máquina virtual","2026-06-05T00:20:47.7838008Z","132","USD","711.07 gmCO2e","No hay datos.",""
"Mediano","Review disks that are not attached to a VM and evaluate if you still need the disks","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-bi-sql","glm-bi-sql-west_datadisk_0","Disk","2026-06-05T07:38:50.3094663Z","","","","No hay datos.",""
"Mediano","Review disks that are not attached to a VM and evaluate if you still need the disks","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-bi-sql","glm-bi-sql-west_datadisk_2","Disk","2026-06-05T07:38:50.3094663Z","","","","No hay datos.",""
"Mediano","Review disks that are not attached to a VM and evaluate if you still need the disks","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-bi-sql","glm-bi-sql-west_datadisk_1","Disk","2026-06-05T07:38:50.3094663Z","","","","No hay datos.",""
"Mediano","Review disks that are not attached to a VM and evaluate if you still need the disks","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","vm_sql_server","glm-supercep-sql-west_datadisk_2","Disk","2026-06-05T07:38:50.3094663Z","","","","No hay datos.",""
"Alta","Considera la posibilidad de una instancia reservada de máquina virtual para ahorrar en los costes bajo demanda","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","No hay ningún grupo de recursos","9d81a980-2eb4-4d5b-907f-dc099e648f25","Suscripción","2026-06-05T02:14:27.3029053Z","7363","USD","","No hay datos.",""
"Alta","Consider purchasing a savings plan to unlock lower prices","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","No hay ningún grupo de recursos","9d81a980-2eb4-4d5b-907f-dc099e648f25","Subscription","2026-06-05T13:48:10.6783829Z","7713","USD","","No hay datos.",""
"Mediano","Review disks that are not attached to a VM and evaluate if you still need the disks","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","vm_sql_server","glm-supercep-sql-west_datadisk_1","Disk","2026-06-05T07:38:50.3094663Z","","","","No hay datos.",""
"Mediano","Review disks that are not attached to a VM and evaluate if you still need the disks","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","vm_sql_server","glm-supercep-sql-west_datadisk_0","Disk","2026-06-05T07:38:50.3094663Z","","","","No hay datos.",""
"Mediano","Límites de facturación de discos SSD estándar","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-asp","asp_osdisk_1_adb9cfbcefad4451bb5ef9c97b50c072","Disco","2026-06-05T05:35:18.7189302Z","","","","No hay datos.",""
