"sep=,"
"Impacto de negocio","Recomendación","Identificador de suscripción","Nombre de suscripción","Grupo de recursos","Nombre de recurso","Tipo","Last refreshed on","Posibles ventajas","Cost implications (Preview)","Description of changes"
"Alta","Las Windows Virtual Machines deberían habilitar Azure Disk Encryption o EncryptionAtHost.","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-comer","glm-comer","Máquina virtual","2026-06-05T11:12:10.3567309Z","Evite posibles infracciones de seguridad.","No hay datos.",""
"Alta","Las Windows Virtual Machines deberían habilitar Azure Disk Encryption o EncryptionAtHost.","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-huam","glm-huam","Máquina virtual","2026-06-05T11:12:10.3567309Z","Evite posibles infracciones de seguridad.","No hay datos.",""
"Mediano","Los puertos de administración deben estar cerrados en las máquinas virtuales.","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","rg_fgt","fgt","Máquina virtual","2026-06-05T14:42:43.1338984Z","Evite posibles infracciones de seguridad.","No hay datos.",""
"Baja","La extensión de atestación del invitado debe estar instalada en las máquinas virtuales Windows.","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-prov_group","glm-prov","Máquina virtual","2026-06-05T09:21:59.4555608Z","Evite posibles infracciones de seguridad.","No hay datos.",""
"Baja","La extensión de atestación del invitado debe estar instalada en las máquinas virtuales Windows.","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-huam","glm-huam","Máquina virtual","2026-06-05T09:21:59.4555608Z","Evite posibles infracciones de seguridad.","No hay datos.",""
"Mediano","La extensión de configuración de invitado debe estar instalada en las máquinas","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","rg_fgt","fgt","Máquina virtual","2026-06-05T02:59:52.6761232Z","Evite posibles infracciones de seguridad.","No hay datos.",""
"Alta","El plan de Microsoft Defender para Storage debe estar habilitado con análisis de malware y detección de amenazas de datos confidenciales","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","No hay ningún grupo de recursos","9d81a980-2eb4-4d5b-907f-dc099e648f25","Suscripción","2026-06-05T14:47:18.2404674Z","Evite posibles infracciones de seguridad.","No hay datos.",""
"Mediano","El reenvío IP en la máquina virtual debe estar deshabilitado.","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","rg_fgt","fgt","Máquina virtual","2026-06-05T11:08:12.6188617Z","Evite posibles infracciones de seguridad.","No hay datos.",""
"Alta","Las máquinas deben configurarse para comprobar periódicamente si faltan actualizaciones del sistema","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","rg_fgt","fgt","Máquina virtual","2026-06-05T11:18:42.0561268Z","Evite posibles infracciones de seguridad.","No hay datos.",""
"Mediano","La cuenta de almacenamiento debe usar una conexión de vínculo privado","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","fileserver","morenafs","Cuenta de almacenamiento","2026-06-05T09:25:23.3394325Z","Evite posibles infracciones de seguridad.","No hay datos.",""
"Mediano","La extensión de configuración de invitado debe estar instalada en las máquinas","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-lara","glm-lara","Máquina virtual","2026-06-05T02:59:52.6761232Z","Evite posibles infracciones de seguridad.","No hay datos.",""
"Mediano","Los puertos de administración deben estar cerrados en las máquinas virtuales.","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","vm_sql_server","glm-supercep","Máquina virtual","2026-06-05T14:42:43.1338984Z","Evite posibles infracciones de seguridad.","No hay datos.",""
"Alta","Todos los puertos de red deben estar restringidos en los grupos de seguridad de red asociados a la máquina virtual.","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","rg_fgt","fgt","Máquina virtual","2026-06-05T13:01:22.7421591Z","Evite posibles infracciones de seguridad.","No hay datos.",""
"Alta","Las Windows Virtual Machines deberían habilitar Azure Disk Encryption o EncryptionAtHost.","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","bi-azure","bi-glm","Máquina virtual","2026-06-05T11:12:10.3567309Z","Evite posibles infracciones de seguridad.","No hay datos.",""
"Baja","La extensión de atestación del invitado debe estar instalada en las máquinas virtuales Windows.","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","vm_sql_server","glm-supercep","Máquina virtual","2026-06-05T09:21:59.4555608Z","Evite posibles infracciones de seguridad.","No hay datos.",""
"Alta","Los puertos de administración de las máquinas virtuales deben protegerse con el control de acceso de red Just-In-Time.","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","vm_sql_server","glm-supercep","Máquina virtual","2026-06-05T10:56:35.2420921Z","Evite posibles infracciones de seguridad.","No hay datos.",""
"Alta","Las Windows Virtual Machines deberían habilitar Azure Disk Encryption o EncryptionAtHost.","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-prov_group","glm-prov","Máquina virtual","2026-06-05T11:12:10.3567309Z","Evite posibles infracciones de seguridad.","No hay datos.",""
"Mediano","Los puertos de administración deben estar cerrados en las máquinas virtuales.","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","bi-azure","bi-glm","Máquina virtual","2026-06-05T14:42:43.1338984Z","Evite posibles infracciones de seguridad.","No hay datos.",""
"Mediano","La extensión de configuración de invitado debe estar instalada en las máquinas","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-comer","glm-comer","Máquina virtual","2026-06-05T02:59:52.6761232Z","Evite posibles infracciones de seguridad.","No hay datos.",""
