Name;State;Status;Provisioned Space;Used Space;Host CPU;Host Mem
GT-COL-SVR-INT1;Powered On;Normal;190.09 GB;169.19 GB;225 MHz;8.06 GB
GT-SVR-DC01;Powered On;Normal;195.09 GB;171.21 GB;1.2 GHz;16.08 GB
GT-SVR-DC02;Powered On;Normal;145.09 GB;145.09 GB;925 MHz;16.08 GB
MTAPPVP02;Powered On;Normal;199.09 GB;95.21 GB;4.98 GHz;12.08 GB
MTAPPVP05;Powered On;Normal;340.09 GB;195.74 GB;175 MHz;6.05 GB
MTDHCPVP01;Powered On;Normal;145.09 GB;65.06 GB;500 MHz;16.08 GB
MTDHCPVP02;Powered On;Normal;145.1 GB;56.14 GB;500 MHz;16.08 GB
MTPBXVP01;Powered On;Normal;110.1 GB;110.1 GB;500 MHz;5.98 GB
MTPBXVP02;Powered On;Normal;880.1 GB;272.77 GB;1.05 GHz;6.08 GB
VAAPPVP09;Powered On;Normal;245.1 GB;145.29 GB;4.53 GHz;15.08 GB
VABCKVP01;Powered On;Normal;1.64 TB;933.96 GB;425 MHz;8.06 GB
VAFAZVP01;Powered On;Normal;2.52 TB;75.81 GB;1.63 GHz;16.07 GB
VAPCIVM;Powered Off;Normal;272.27 GB;18.06 GB;0 Hz;0 B
VATESTVD01;Powered On;Normal;189.09 GB;128.71 GB;275 MHz;4.04 GB
VAVSCANVP03;Powered On;Normal;374.65 GB;54.51 GB;225 MHz;16.08 GB
VAZABBIXVP01;Powered On;Normal;136.09 GB;136.09 GB;525 MHz;13.03 GB
VMware vCenter Server - VCGTCX01;Powered On;Normal;762.86 GB;93.01 GB;400 MHz;21.1 GB
VAAADVP02;Powered On;Normal;209.43 GB;173.15 GB;252 MHz;8.06 GB
VAAPPVD01;Powered On;Normal;245.04 GB;181.16 GB;196 MHz;4.04 GB
VAAPPVP04;Powered On;Normal;229.3 GB;173.99 GB;1.34 GHz;16.08 GB
VAAPPVP05;Powered On;Normal;446.7 GB;127.78 GB;280 MHz;8.09 GB
VAAPPVP07;Powered On;Normal;262.17 GB;178.27 GB;224 MHz;4.04 GB
VAAPPVP10;Powered On;Normal;326.18 GB;193.39 GB;196 MHz;10.06 GB
VAAPPVQ01;Powered On;Normal;253.9 GB;195.47 GB;252 MHz;4.06 GB
VAMONVP01;Powered On;Normal;334.98 GB;55.53 GB;1.48 GHz;8.06 GB
VAPGSVD01;Powered On;Normal;386.04 GB;87.38 GB;252 MHz;6.05 GB
VAPGSVQ01;Powered On;Normal;385.91 GB;91.26 GB;3.75 GHz;12.07 GB
VASQLVD01;Powered On;Normal;311.46 GB;298.56 GB;224 MHz;12.07 GB
VASQLVD02;Powered On;Normal;312.46 GB;284.61 GB;280 MHz;12.07 GB
VASQLVD03;Powered On;Normal;245.12 GB;225.26 GB;252 MHz;11.6 GB
VASQLVP03;Powered On;Normal;862.7 GB;269.45 GB;252 MHz;16.08 GB
VASQLVP04;Powered On;Normal;4.45 TB;241.35 GB;196 MHz;16.08 GB
VASQLVQ01;Powered On;Normal;493.47 GB;232.14 GB;336 MHz;12.11 GB
VASQLVQ02;Powered On;Normal;493.09 GB;200.32 GB;308 MHz;12.11 GB
VASQLVQ03;Powered On;Normal;492.32 GB;207.07 GB;448 MHz;12.11 GB
VAVEEAMVP01;Powered On;Normal;20.15 TB;8.43 TB;2.04 GHz;16.08 GB
VAWEBVD01;Powered On;Normal;245.04 GB;183.79 GB;196 MHz;4.04 GB
VAWEBVD02;Powered On;Normal;245.05 GB;199.33 GB;196 MHz;4.04 GB
VAWEBVD03;Powered On;Normal;258.39 GB;235.42 GB;196 MHz;4.04 GB
VAWEBVD04;Powered On;Normal;240.31 GB;161.45 GB;224 MHz;4.06 GB
VAWEBVD06;Powered On;Normal;219.64 GB;46.31 GB;196 MHz;4.04 GB
VAWEBVP04;Powered On;Normal;262.68 GB;176.37 GB;280 MHz;8.06 GB
VAWEBVP05;Powered On;Normal;255.84 GB;125.32 GB;308 MHz;8.06 GB
VAWEBVP06;Powered On;Normal;263.04 GB;206.15 GB;364 MHz;8.06 GB
VAWEBVP07;Powered On;Normal;329.25 GB;106.4 GB;252 MHz;16.08 GB
VAWEBVP08;Powered On;Normal;9.76 TB;4.77 TB;1.01 GHz;16.09 GB
VAWEBVP09;Powered On;Normal;326.34 GB;193.53 GB;252 MHz;8.06 GB
VAWEBVP10;Powered On;Normal;368.73 GB;303.19 GB;336 MHz;8.04 GB
VAWEBVQ02;Powered On;Normal;245.46 GB;208.47 GB;224 MHz;4.06 GB
VAWEBVQ03;Powered On;Normal;245.96 GB;230.07 GB;224 MHz;4.06 GB
VAWEBVQ04;Powered On;Normal;252.95 GB;168.39 GB;280 MHz;4.06 GB
VAWEBVQ05;Powered On;Normal;252.95 GB;187.29 GB;252 MHz;4.06 GB
VAWEBVQ06;Powered On;Normal;326.21 GB;177.38 GB;252 MHz;4.04 GB
VMware vCenter Server Appliance;Powered On;Normal;1.45 TB;1.45 TB;476 MHz;21.1 GB
VxRail Manager;Powered On;Normal;624.62 GB;624.62 GB;980 MHz;16.09 GB
WRK2VA1US01;Powered On;Normal;10.61 TB;9.01 TB;10.7 GHz;68.49 GB
